lei,scope,refPeriod,bank_name,home_country,largest_country,n_countries,total_exposure_eur,domestic_share,country_hhi,x28_share,reliable
9845006BAF66DZ35C849,CON,2025-12-31,Lunar Group A/S,Denmark,Denmark,2,1067378586.41,0.9962,0.9924,0.0000,true
9845009BE414FBF82130,CON,2025-12-31,FESTA HOLDING,Bulgaria,Bulgaria,2,757905529.94,0.9965,0.9931,0.0000,true
984500E4D07499C10435,CON,2025-12-31,TBI FINANCIAL SERVICES B.V.,Netherlands,Romania,6,1665.99,0.0000,0.4177,0.0000,true
9CZ7TVMR36CYD5TZBS50,CON,2025-06-30,Banque Internationale à Luxembourg,Luxembourg,Luxembourg,103,19446977019.00,0.7513,0.5728,0.0000,true
9CZ7TVMR36CYD5TZBS50,CON,2025-12-31,Banque Internationale à Luxembourg,Luxembourg,Luxembourg,104,19759429486.00,0.7094,0.5164,0.0000,true
9KOGW2C2FCIOJQ7FF485,CON,2025-06-30,"Česká spořitelna, a.s.",Czechia,Czechia,40,49923794863.77,0.9674,0.9360,0.0000,true
9KOGW2C2FCIOJQ7FF485,CON,2025-12-31,"Česká spořitelna, a.s.",Czechia,Czechia,40,50363698645.48,0.9710,0.9429,0.0000,true
9ZHRYM6F437SQJ6OUG95,CON,2025-06-30,Raiffeisen Bank International AG,Austria,Austria,134,118926515075.00,0.2480,0.1260,0.0117,true
9ZHRYM6F437SQJ6OUG95,CON,2025-12-31,Raiffeisen Bank International AG,Austria,Austria,186,125526937596.76,0.2311,0.1201,0.0118,true
A5GWLFH3KM7YV2SFQL84,CON,2025-06-30,Belfius Bank,Belgium,Belgium,38,127347546769.00,0.8601,0.7475,0.0034,true
A5GWLFH3KM7YV2SFQL84,CON,2025-12-31,Belfius Bank,Belgium,Belgium,39,129099865953.00,0.8641,0.7536,0.0031,true
AT0000000000043000VB,CON,2025-12-31,VOLKSBANK WIEN AG VB,Austria,Austria,81,27469369000.00,0.8971,0.8073,0.0000,true
B64D6Y3LBJS4ANNPCU93,CON,2025-12-31,NIBC Bank N.V.,Netherlands,Netherlands,16,20155857146.68,0.8612,0.7525,0.0050,true
BB3BGO3LCED63R8R9R41,CON,2025-12-31,BANK POLSKIEJ SPOLDZIELCZOSCI S.A.,Poland,Poland,1,1490877099.55,1.0000,1.0000,0.0000,true
BFXS5XCH7N0Y05NIXW11,CON,2025-06-30,ABN AMRO Bank N.V.,Netherlands,Netherlands,27,283563160000.00,0.8386,0.7579,0.0348,true
BFXS5XCH7N0Y05NIXW11,CON,2025-12-31,ABN AMRO Bank N.V.,Netherlands,Netherlands,32,276588939000.00,0.8352,0.7319,0.0216,true
CXUHEGU3MADZ2CEV7C11,CON,2025-12-31,Eurobank Limited,Cyprus,Cyprus,7,11800623135.46,0.5899,0.5146,0.1647,true
D1HEB8VEU6D9M8ZUXG17,CON,2025-06-30,UniCredit Bank Austria AG,Austria,Austria,119,68492740896.00,0.8445,0.7152,0.0001,true
D1HEB8VEU6D9M8ZUXG17,CON,2025-12-31,UniCredit Bank Austria AG,Austria,Austria,115,69994093226.00,0.8182,0.7048,0.0240,true
DG3RU1DBUFHT4ZF9WN62,CON,2025-12-31,Coöperatieve Rabobank U.A.,Netherlands,Netherlands,141,540997247962.20,0.6402,0.4264,0.0002,true
DIZES5CFO5K3I5R58746,CON,2025-06-30,Landesbank Hessen-Thüringen Girozentrale,Germany,Germany,135,104714322150.26,0.5965,0.3770,0.0019,true
DIZES5CFO5K3I5R58746,CON,2025-12-31,Landesbank Hessen-Thüringen Girozentrale,Germany,Germany,129,106168426185.61,0.6036,0.3843,0.0015,true
DSNHHQ2B9X5N6OUJ1236,CON,2025-12-31,Norddeutsche Landesbank - Girozentrale -,Germany,Germany,71,82384017130.70,0.5863,0.3619,0.0007,true
DZZ47B9A52ZJ6LT6VV95,CON,2025-06-30,Deutsche Pfandbriefbank AG,Germany,Germany,27,29679.00,0.4349,0.2317,0.0000,true
DZZ47B9A52ZJ6LT6VV95,CON,2025-12-31,Deutsche Pfandbriefbank AG,Germany,Germany,28,54035000000.00,0.4705,0.2554,0.0000,true
EQYXK86SF381Q21S3020,IND,2025-12-31,Bank of America Europe Designated Activity Company,Ireland,United Kingdom,56,55707955104.49,0.0609,0.0994,0.0000,true
F0HUI1NY1AZMJMD8LP67,CON,2025-06-30,HSBC Continental Europe,France,France,113,83217721444.00,0.3683,0.1790,0.0000,true
F0HUI1NY1AZMJMD8LP67,CON,2025-12-31,HSBC Continental Europe,France,France,98,82195510386.00,0.3535,0.1666,0.0000,true
F3JS33DEI6XQ4ZBPTN86,CON,2025-06-30,Skandinaviska Enskilda Banken - gruppen,Sweden,Sweden,155,203671460752.89,0.5623,0.3328,0.0000,true
F3JS33DEI6XQ4ZBPTN86,CON,2025-12-31,Skandinaviska Enskilda Banken - gruppen,Sweden,Sweden,150,204622082236.21,0.5687,0.3397,0.0000,true
FR9695005MSX1OYEMGDF,CON,2025-06-30,Groupe BPCE,France,France,216,1136732915946.00,0.7427,0.5667,0.0000,true
FR9695005MSX1OYEMGDF,CON,2025-12-31,Groupe BPCE,France,France,30,1177723258496.26,0.7314,0.6633,0.0898,true
G8ZTNESVNKW4NN761W05,CON,2025-12-31,ABN AMRO Clearing Bank N.V.,Netherlands,United States,32,3446674116.14,0.1191,0.1616,0.0000,true
GDI8P8WHFH4PS5YTU851,CON,2025-12-31,"HAITONG BANK, S.A.",Portugal,Brazil,10,2320518403.00,0.3062,0.2708,0.0000,true
GTQYZJON3I7SXRNJTT73,IND,2025-12-31,BSK 1818 AG,Germany,Germany,157,37634574331.19,0.8233,0.6831,0.0000,true
H0YX5LBGKDVOWCXBZ594,CON,2025-06-30,SBAB Bank AB - Grupp,Sweden,Sweden,4,59898081493.65,0.9856,0.9715,0.0000,true
H0YX5LBGKDVOWCXBZ594,CON,2025-12-31,SBAB Bank AB - Grupp,Sweden,Sweden,4,59657869508.12,0.9849,0.9702,0.0000,true
I6SS27Q1Q3385V753S50,IND,2025-06-30,Raiffeisenlandesbank Oberösterreich Aktiengesellschaft,Austria,Austria,73,31785663986.00,0.6003,0.4141,0.0000,true
I6SS27Q1Q3385V753S50,IND,2025-12-31,Raiffeisenlandesbank Oberösterreich Aktiengesellschaft,Austria,Austria,76,33107432341.56,0.6075,0.4201,0.0000,true
I6USJ58BDV2BO5KP3C31,CON,2025-12-31,"MONETA Money Bank, a.s.",Czechia,Czechia,14,12517598615.74,0.9787,0.9580,0.0000,true
I7ETN0QQO2AHZZGHJ389,IND,2025-12-31,KOMMUNALBANKEN AS,Norway,Norway,7,475512932.32,0.7002,0.5166,0.0000,true
I7ETN0QQO2AHZZGHJ389,IND,2026-03-31,KOMMUNALBANKEN AS,Norway,Norway,7,1274669890.08,0.2975,0.5747,0.6013,false
J48C8PCSJVUBR8KCW529,CON,2025-06-30,BANCA POPOLARE DI SONDRIO SOCIETA' PER AZIONI,Italy,Italy,27,44109833310.00,0.8067,0.9390,0.1674,true
J4CP7MHCXR8DAQMKIL78,CON,2025-06-30,Banca Monte dei Paschi di Siena S.p.A.,Italy,Italy,29,87821347200.00,0.9658,0.9676,0.0182,true
J4CP7MHCXR8DAQMKIL78,CON,2025-12-31,Banca Monte dei Paschi di Siena S.p.A.,Italy,Italy,36,153128718108.00,0.8833,0.8424,0.0370,true
JLS56RAMYQZECFUF2G44,CON,2025-06-30,ING Belgie,Belgium,Belgium,174,118177486763.16,0.7735,0.6062,0.0000,true
JU1U6S0DG9YLT7N8ZV32,CON,2025-06-30,"Banco Comercial Português, SA",Portugal,Portugal,175,68063855145.50,0.6619,0.5117,0.0000,true
JU1U6S0DG9YLT7N8ZV32,CON,2025-12-31,"Banco Comercial Português, SA",Portugal,Portugal,177,72284689715.64,0.6686,0.5182,0.0000,true
K8MS7FD7N5Z2WQ51AZ71,CON,2025-06-30,"Banco Bilbao Vizcaya Argentaria, S.A.",Spain,Spain,59,486130000000.00,0.3884,0.2113,0.0000,true
K8MS7FD7N5Z2WQ51AZ71,CON,2025-12-31,"Banco Bilbao Vizcaya Argentaria, S.A.",Spain,Denmark,59,517335000000.00,0.0372,0.1974,0.0000,true
KFUXYFTU2LHQFQZDQG45,CON,2025-06-30,Kereskedelmi és Hitelbank csoport,Hungary,Slovakia,28,43946519.49,0.0000,0.3223,0.0000,true
KFUXYFTU2LHQFQZDQG45,CON,2025-12-31,Kereskedelmi és Hitelbank csoport,Hungary,Hungary,30,9225698986.21,0.9962,0.9923,0.0000,true
KGCEPHLVVKVRZYO1T647,CON,2025-06-30,BNP Paribas Fortis,Belgium,Belgium,30,265647158736.00,0.6054,0.3895,0.0000,true
KGCEPHLVVKVRZYO1T647,CON,2025-12-31,BNP Paribas Fortis,Belgium,Belgium,30,268233740415.00,0.6009,0.3845,0.0000,true
KR6LSKV3BTSJRD41IF75,CON,2025-06-30,"UniCredit Bank Czech Republic and Slovakia, a.s.",Czechia,Czechia,100,29919010699.34,0.6530,0.5476,0.0484,true
KR6LSKV3BTSJRD41IF75,CON,2025-12-31,"UniCredit Bank Czech Republic and Slovakia, a.s.",Czechia,Czechia,99,30093649153.72,0.6600,0.5540,0.0475,true
KX1WK48MPD4Y2NCUIZ63,CON,2025-06-30,Natixis,France,Luxembourg,108,299893229670.27,0.2073,0.2393,0.0000,true
KX1WK48MPD4Y2NCUIZ63,CON,2025-12-31,Natixis,France,Luxembourg,108,331673119625.80,0.2199,0.2391,0.0000,true
M312WZV08Y7LYUC71685,CON,2025-06-30,Swedbank - Grupp,Sweden,Sweden,10,183729847820.00,0.7900,0.6409,0.0060,true
M312WZV08Y7LYUC71685,CON,2025-12-31,Swedbank - Grupp,Sweden,Sweden,10,198471636890.00,0.7830,0.6310,0.0069,true
M6AD1Y1KW32H8THQ6F76,CON,2025-06-30,Piraeus Financial Holdings,Greece,Greece,25,66182965383.00,0.9310,0.8787,0.0064,true
MAES062Z21O4RZ2U7M96,CON,2025-06-30,Danske Bank A/S,Denmark,Denmark,17,309709597223.09,0.5634,0.3765,0.0132,true
MAES062Z21O4RZ2U7M96,CON,2025-12-31,Danske Bank A/S,Denmark,Denmark,17,313313605320.57,0.5656,0.3760,0.0116,true
MKP1B7E76TN04CD85Z79,CON,2025-12-31,BANK OCHRONY ŚRODOWISKA SA,Poland,Poland,1,2950057032.47,1.0000,1.0000,0.0000,true
MMYX0N4ZEZ13Z4XCG897,IND,2025-12-31,THE BANK OF NEW YORK MELLON,Belgium,Netherlands,62,5839645475.65,0.1463,0.0919,0.0000,true
N1FBEDJ5J41VKZLO2475,CON,2025-06-30,Citibank Europe plc,Ireland,Poland,158,52853768050.17,0.0307,0.0691,0.0000,true
N4JDFKKH2FTD8RKFXO39,CON,2025-06-30,Crédit industriel et commercial - CIC,France,France,21,283208354626.89,0.9227,0.8523,0.0000,true
N4JDFKKH2FTD8RKFXO39,CON,2025-12-31,Crédit industriel et commercial - CIC,France,France,30,293370589773.32,0.9052,0.8204,0.0000,true
N747OI7JINV7RUUH6190,CON,2025-06-30,BPER Banca S.p.A.,Italy,Italy,168,107879408943.00,0.9371,0.8796,0.0006,true
N747OI7JINV7RUUH6190,CON,2025-12-31,BPER Banca S.p.A.,Italy,Italy,38,151677591716.00,0.8989,0.9180,0.0617,true
NHBDILHZTYCNBV5UYZ31,CON,2025-06-30,Svenska Handelsbanken - gruppen,Sweden,Sweden,123,217449519949.53,0.6918,0.5107,0.0000,true
NHBDILHZTYCNBV5UYZ31,CON,2025-12-31,Svenska Handelsbanken - gruppen,Sweden,Sweden,126,219640091407.06,0.7014,0.5222,0.0000,true
NICH5Q04ADUV9SN3Q390,CON,2025-06-30,BRED - Banque populaire,France,France,173,54768607738.00,0.7754,0.6046,0.0000,true
NICH5Q04ADUV9SN3Q390,CON,2025-12-31,BRED - Banque populaire,France,France,30,55504286068.06,0.7967,0.8072,0.1123,true
NMH2KF074RKAGTH4CM63,CON,2025-06-30,BNP PARIBAS BANK POLSKA S.A,Poland,Poland,67,46725763530.29,0.9921,0.9842,0.0000,true
NMH2KF074RKAGTH4CM63,CON,2025-12-31,BNP PARIBAS BANK POLSKA S.A,Poland,Poland,87,45240743379.20,0.9902,0.9805,0.0000,true
NNVPP80YIZGEY2314M97,CON,2025-06-30,ICCREA BANCA S.P.A. - ISTITUTO CENTRALE DEL CREDITO COOPERATIVO (IN FORMA ABBREVIATA: ICCREA BANCA S.P.A.),Italy,Italy,22,104007966699.00,0.9925,0.9951,0.0050,true
NNVPP80YIZGEY2314M97,CON,2025-12-31,ICCREA BANCA S.P.A. - ISTITUTO CENTRALE DEL CREDITO COOPERATIVO (IN FORMA ABBREVIATA: ICCREA BANCA S.P.A.),Italy,Italy,28,106624718760.00,0.9924,0.9944,0.0048,true
O2RNE8IBXP4R0TD8PU41,CON,2025-06-30,Société générale S.A.,France,France,22,661625000000.00,0.4729,0.4620,0.2924,true
O2RNE8IBXP4R0TD8PU41,CON,2025-12-31,Société générale S.A.,France,France,28,694343000000.00,0.4513,0.3926,0.2646,true
P4GTT6GF1W40CVIMFR43,CON,2025-06-30,Powszechna Kasa Oszczednosci Bank Polski S.A.,Poland,Poland,35,99020733767.93,0.9696,0.9402,0.0000,true
P4GTT6GF1W40CVIMFR43,CON,2025-12-31,Powszechna Kasa Oszczednosci Bank Polski S.A.,Poland,Poland,162,105107331176.86,0.9661,0.9335,0.0000,true
PRNXTNXHBI0TSY1V8P17,CON,2025-06-30,Zagrebačka banka d.d.,Croatia,Slovenia,10,197.86,0.0571,0.1755,0.1516,true
PRNXTNXHBI0TSY1V8P17,CON,2025-12-31,Zagrebačka banka d.d.,Croatia,Croatia,10,15223.00,0.8076,0.6893,0.0028,true
PSNL19R2RXX5U3QWHI44,CON,2025-06-30,MEDIOBANCA - BANCA DI CREDITO FINANZIARIO S.P.A.,Italy,Italy,45,63079697025.00,0.7660,0.6012,0.0073,true
PSNL19R2RXX5U3QWHI44,IND,2025-12-31,MEDIOBANCA - BANCA DI CREDITO FINANZIARIO S.P.A.,Italy,Italy,29,33194790630.00,0.6039,0.3856,0.0058,true
R0MUWSFPU8MPRO8K5P83,CON,2025-06-30,BNP Paribas,France,France,30,944012294852.00,0.4066,0.2247,0.0000,true
R0MUWSFPU8MPRO8K5P83,CON,2025-12-31,BNP Paribas,France,France,30,904457306284.55,0.4355,0.2458,0.0000,true
R7CQUF1DQM73HUTV1078,IND,2025-06-30,"Banque et Caisse d´Epargne de l´Etat, Luxembourg",Luxembourg,Luxembourg,25,42634065259.00,0.7285,0.6543,0.0952,true
R7CQUF1DQM73HUTV1078,IND,2025-12-31,"Banque et Caisse d´Epargne de l´Etat, Luxembourg",Luxembourg,Luxembourg,29,43373164895.46,0.7351,0.6543,0.0875,true
RG3IZJKPYQ4H6IQPIC08,IND,2025-12-31,Addiko Bank d.d.,Croatia,Croatia,69,1368637492.25,0.9851,0.9705,0.0000,true
RRUN0TCQ1K2JDV7MXO75,CON,2025-12-31,Oberbank AG,Austria,Austria,61,23121.79,0.5616,0.3805,0.0000,true
SI5RG2M0WQQLZCXKRM20,CON,2025-06-30,"Banco de Sabadell, S.A.",Spain,United Kingdom,26,53676491990.00,0.0000,0.8173,0.0000,true
SI5RG2M0WQQLZCXKRM20,CON,2025-12-31,"Banco de Sabadell, S.A.",Spain,Spain,29,159097265160.00,0.6652,0.5321,0.0000,true
TPS0Q8GFSZF45ZZFL873,CON,2025-12-31,Société Générale Luxembourg,Luxembourg,Luxembourg,22,14376582.54,0.2360,0.1691,0.1299,true
TUKDD90GPC79G1KOE162,CON,2025-06-30,Hamburg Commercial Bank AG,Germany,Germany,41,24019719644.30,0.2375,0.1054,0.0000,true
TUKDD90GPC79G1KOE162,CON,2025-12-31,Hamburg Commercial Bank AG,Germany,Germany,42,21870769825.50,0.2433,0.1078,0.0000,true
UAIAINAJ28P30E5GWE37,CON,2025-12-31,BGL BNP Paribas,Luxembourg,Luxembourg,29,42864880575.00,0.3635,0.2421,0.1471,true
UI802FYJ52XDB7N4KN18,CON,2025-12-31,BANCA NAZIONALE DEL LAVORO S.P.A. (IN FORMA CONTRATTA BNL S.P.A.),Italy,United States,30,49703579.00,0.0000,0.4641,0.0000,true
VDYMYTQGZZ6DU0912C88,CON,2025-06-30,Bayerische Landesbank,Germany,Germany,27,166101216037.84,0.8086,0.7912,0.0895,true
VDYMYTQGZZ6DU0912C88,CON,2025-12-31,Bayerische Landesbank,Germany,Germany,30,172166073868.34,0.8012,0.7682,0.0842,true
VWMYAEQSTOPNV0SUGU82,CON,2025-06-30,"Bankinter, S.A.",Spain,Spain,3,85752573441.00,0.8232,0.6963,0.0000,true
VWMYAEQSTOPNV0SUGU82,CON,2025-12-31,"Bankinter, S.A.",Spain,Spain,3,84944076380.00,0.8109,0.6783,0.0000,true
XLEZHWWOI4HFQDGL4793,CON,2025-12-31,BANK HANDLOWY W WARSZAWIE SA,Poland,Poland,33,7190391867.66,0.9347,0.8744,0.0000,true
Y28RT6GGYJ696PMW8T44,CON,2025-12-31,UniCredit csoport,Hungary,Hungary,104,7418062568.20,0.9817,0.9638,0.0000,true
